wine_type,country,grape,year,wine_rating,rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic,taste_count,wine_age,geo_region
Red,Spain,Cariñena,2016,4,28,43.69,81.3712,52.9172,16.695,49.5591,110,5,S Europe
White,Australia,Moscato,2019,4.1,300,14.81,57.64164538,47.91798617,10.98216313,55.38421874,165,2,Oceania
Red,Spain,Listan Negro,2017,3.8,78,46.24,52.254,40.8361,1.00533,50.1432,244,4,S Europe
Red,Spain,Treixadura,2018,3.8,63,22.66,51.4949,35.9352,9.80568,53.6438,95,3,S Europe
Red,France,Gamay,2015,4.2,99,69.6,6.9194,11.2177,3.88707,81.5308,54,6,W Europe
Red,France,Pinot Noir,2017,3.9,77,76,36.3636,23.5822,0.2715,63.2179,123,4,W Europe
White,Chile,Sauvignon Blanc,2018,3.8,271,59.22,43.1995,47.91798617,1.9284,66.9724,235,3,S America
Red,France,Blend,2002,4.3,95,102.92,70.2298,56.4201,6.85888,52.3221,558,19,W Europe
Red,Argentina,Merlot,2019,3.2,36,32.4,64.5443,21.3288,16.0976,20.3634,58,2,S America
Red,France,Blend,2016,3.9,379,87,76.5792,80.4164,4.01459,76.5383,449,5,W Europe
White,France,Pinot Gris,2014,3.9,915,30.93,43.4837,47.91798617,22.0279,39.0769,1991,7,W Europe
White,Germany,Riesling,2019,4.4,26,61.86,40.1188,47.91798617,38.8123,84.0753,480,2,W Europe
White,Italy,Verdicchio,2016,3.9,237,63.55,47.4775,47.91798617,22.8432,66.328,192,5,S Europe
White,Germany,Riesling,2016,3.9,296,42.53,41.5759,47.91798617,26.3861,79.8977,199,5,W Europe
Red,Australia,Cabernet Sauvignon,2017,4,321,87.99,66.1899,56.991,5.96419,53.9846,1384,4,Oceania
Red,New Zealand,Pinot Noir,2017,3.7,39,45,22.6557,30.9956,6.48465,65.8246,70,4,Oceania
Red,United States,Cabernet Sauvignon,2013,4,2157,81.99,85,53.0099,7.4885,53.3563,3951,8,N America
Red,Italy,Sangiovese,2016,3.6,320,48.5,43.8848,54.8283,4.03649,64.8892,199,5,S Europe
White,New Zealand,Sauvignon Blanc,2016,3.8,158,44.2,31.2175,47.91798617,0,72.0168,83,5,Oceania
Red,Uruguay,Blend,2013,3.8,266,52,57.64164538,47.91798617,10.98216313,55.38421874,48,8,S America
Red,Spain,Grenache,2012,3.3,2020,38,77.8047,39.8985,7.62352,45.726,1234,9,S Europe
Red,France,Merlot,2014,4.1,611,77.5,73.426,55.1768,10.2674,53.1657,1543,7,W Europe
Red,Spain,Cariñena,2008,4.3,69,106.71,77.1186,51.0169,8.2953,54.444,59,13,S Europe
Red,France,Blend,2015,3.9,178,87,64.0087,48.7041,1.6693,62.0293,766.0365691,6,W Europe
Red,Chile,Cabernet Sauvignon,2018,3.9,52,49,73.3502,43.73,14.4786,43.7233,676,3,S America
White,France,Sauvignon Blanc,2018,4.1,173,114,18.6462,47.91798617,4.01325,67.9399,135,3,W Europe
White,France,Chardonnay,2017,4.4,79,96.67,59.75,47.91798617,11.8527,51.0924,433,4,W Europe
Red,Spain,Blend,2018,4,94,53.28,80.2758,48.4729,16.7581,55.2192,540,3,S Europe
Red,Italy,Blend,2016,3.5,147,38.99,62.3364,37.1759,23.3755,28.3755,31,5,S Europe
Red,France,Blend,2006,4,965,84.8,70.386,72.2032,7.58365,70.1369,3695,15,W Europe
Red,France,Blend,2016,3.9,75,90.25,85,42.0401,19.5996,47.1274,186,5,W Europe
Red,France,Pinot Noir,2013,3.9,145,92.08,39.5223,30.8811,13.6859,67.6959,286,8,W Europe
White,United States,Chardonnay,2018,4.1,808,70,85,47.91798617,26.8845,38.5815,2508,3,N America
White,Italy,Arneis,2019,3.8,305,54,58.8762,47.91798617,21.7667,51.2157,459,2,S Europe
White,Spain,Moscatel de Alejandría,2018,4,366,47.3,57.64164538,47.91798617,10.98216313,55.38421874,612,3,S Europe
White,Australia,Riesling,2016,3.6,250,55.19,42.9695,47.91798617,0,69.298,1245,5,Oceania
Red,France,Blend,2020,4.1,29,48.42,62.1972,50.1301,8.41723,55.0918,215,1,W Europe
Red,Italy,Montepulciano,2017,3.5,193,44,34.0321,36.3761,9.29187,62.7108,162,4,S Europe
Red,Italy,Blend,2015,4.1,127,86,52.9186,57.3353,2.99182,67.3485,387,6,S Europe
Red,France,Shiraz/Syrah,2018,4.1,525,32.48,63.1118,49.4078,6.2465,46.9422,432,3,W Europe
White,Italy,Müller-Thurgau,2018,3.6,94,45,42.169,47.91798617,12.2188,44.6731,112,3,S Europe
Red,Australia,Shiraz/Syrah,2019,4.1,120,63,85,46.2096,20.3369,42.7857,7804,2,Oceania
Red,France,Blend,2014,4.1,958,104.8,73.777,72.8797,8.62989,72.7114,1470,7,W Europe
Red,France,Blend,2010,4.3,26,89.67,60.3839,37.5877,2.55806,33.7429,59,11,W Europe
White,United States,Chardonnay,2018,4.1,82,90,51.4815,47.91798617,8.31172,60.8719,120,3,N America
Red,France,Blend,2015,3.7,191,26.6,78.4167,72.1692,0.407827,78.209,75,6,W Europe
Red,Italy,Blend,2017,4,81,72,46.9284,34.6755,18.7392,56.6006,330,4,S Europe
Red,South Africa,Cinsault,2015,3.7,154,68,57.64164538,47.91798617,10.98216313,55.38421874,160,6,Africa
Red,France,Blend,2012,3.8,101,59.33,70.5582,71.59,12.8636,74.8084,147,9,W Europe
Red,Italy,Barbera,2016,3.8,26,36.9,61.2967,30.0915,0,67.3354,16,5,S Europe
White,France,Sauvignon Blanc,2013,4,29,106,26.1629,47.91798617,5.42241,67.9138,57,8,W Europe
White,Italy,Garganega,2019,3.4,47,43,30.9138,47.91798617,0,56.6063,58,2,S Europe
Red,Greece,Blend,2018,4,27,38.58,57.64164538,47.91798617,10.98216313,55.38421874,171,3,S Europe
Red,Australia,Pinot Noir,2017,4.3,47,89,50.1867,17.0228,11.797,52.732,77,4,Oceania
Red,Italy,Nebbiolo,2017,4.2,107,82,60.5519,79.5265,6.31804,82.0854,459,4,S Europe
White,South Africa,Chenin Blanc,2018,4,79,52,39.502,47.91798617,10.015,72.873,270,3,Africa
Red,Italy,Shiraz/Syrah,2012,3.7,723,48.5,52.7462,40.6868,13.4889,45.062,578,9,S Europe
Red,Chile,Carménère,2019,3.7,327,48,74.6782,34.2927,10.6588,42.47,527,2,S America
White,Australia,Riesling,2019,4,104,55,43.8507,47.91798617,1.3526,68.0052,771,2,Oceania
White,Australia,Chardonnay,2019,3.8,50,45,50.3988,47.91798617,12.8992,50.721,177,2,Oceania
Red,Spain,Garnacha,2019,4.2,436,64.17,84.6236,50.2349,10.3469,53.2268,1104,2,S Europe
Red,Portugal,Baga,2015,3.6,227,59,63.9832,56.4761,4.29771,51.5098,386,6,S Europe
Red,South Africa,Pinotage,2020,3.1,25,37.99,67.3991,53.453,13.2362,43.9358,51,1,Africa
Red,Italy,Blend,2013,3.9,57,92,53.7794,43.9683,13.107,42.3152,81,8,S Europe
White,Spain,Godello,2020,3.8,29,14.69,57.64164538,47.91798617,10.98216313,55.38421874,73,1,S Europe
White,Spain,Sauvignon Blanc,2020,3.8,64,10.21,43.391,47.91798617,5.32143,68.1955,68,1,S Europe
White,Spain,Chardonnay,2019,3.7,457,49,43.1723,47.91798617,4.57221,52.2453,334,2,S Europe
Red,France,Merlot,2016,3.7,315,78,67.3261,69.341,7.44943,65.4868,522,5,W Europe
White,New Zealand,Sauvignon Blanc,2019,4.1,42,90.83,35.849,47.91798617,6.4378,77.6187,2727,2,Oceania
Red,Spain,Tempranillo,2016,3.7,554,48.49,62.5463,63.2199,9.63116,61.0784,513,5,S Europe
Red,Italy,Blend,2017,4.1,26,38,41.8778,34.359,9.48872,57.3571,29,4,S Europe
White,Italy,Blend,2017,3.7,657,48.15,60.1439,47.91798617,15.0524,29.6342,124,4,S Europe
White,Italy,Malvasia,2019,4,320,30,59.9125,47.91798617,24.2509,25.0734,139,2,S Europe
White,Italy,Fiano,2018,4.2,1154,88,63.9853,47.91798617,9.75623,32.9759,1131,3,S Europe
White,South Africa,Blend,2020,4.1,97,68,57.64164538,47.91798617,10.98216313,55.38421874,1646,1,Africa
Red,Italy,Blend,2018,4.1,1733,68.48,83.5162,37.0866,46.0056,22.3144,746,3,S Europe
Red,Spain,Tempranillo,2014,4.3,649,110,64.2486,61.3783,10.3893,60.5463,3748,7,S Europe
Red,Greece,Blend,2017,4.4,45,85,57.64164538,47.91798617,10.98216313,55.38421874,231,4,S Europe
Red,France,Gamay,2016,3.9,293,32.48,5.4724,14.8739,4.85622,83.7552,755,5,W Europe
Red,Italy,Blend,2017,4,1221,69,53.4128,40.6133,11.7159,41.4088,730,4,S Europe
Red,France,Shiraz/Syrah,2019,3.8,77,77,75.0701,51.0493,3.93259,52.9487,361,2,W Europe
Red,Italy,Barbera,2015,3.8,835,48,48.7079,21.6142,7.8613,64.2677,684,6,S Europe
Red,Italy,Corvina,2018,3.6,592,39,38.4107,32.0654,14.2736,56.9784,535,3,S Europe
Red,Italy,Sangiovese,2015,3.7,486,68,45.4068,40.4606,6.66187,47.904,434,6,S Europe
Red,France,Pinot Noir,2015,4,53,89.67,33.7604,23.9001,6.15312,66.9674,186,6,W Europe
Red,France,Merlot,2014,3.9,171,83.51,70.3737,52.7568,10.3096,50.08,750,7,W Europe
Red,Italy,Blend,2018,3.6,45,27.3,53.7372,36.7699,22.2671,31.3392,97,3,S Europe
Red,France,Blend,2012,3.6,132,56.46,67.7157,60.7658,5.59837,63.1509,389,9,W Europe
Red,France,Gamay,2019,4.2,103,62,8.86491,10.3348,9.59565,82.7252,240,2,W Europe
Red,France,Blend,2015,4.2,1657,98,74.7896,75.2053,10.0547,74.7189,2291,6,W Europe
Red,France,Blend,2016,3.7,52,88,68.3485,43.4087,27.4423,40.012,22,5,W Europe
Red,Chile,Carménère,2019,3.7,59,25.07,66.7173,35.5304,12.1318,46.3001,35,2,S America
Red,Spain,Garnacha,2019,4.1,520,51.73,69.5328,49.2947,8.20898,55.1309,1018,2,S Europe
White,Germany,Riesling,2017,4.3,162,75.78,48.415,47.91798617,31.566,80.2192,523,4,W Europe
White,Spain,Verdejo,2020,3.9,55,52,28.3997,47.91798617,27.1264,47.9346,355,1,S Europe
Red,Italy,Nero d'Avola,2019,3.8,610,58.99,76.6898,39.9644,25.4418,32.1063,1003,2,S Europe
Red,Italy,Sangiovese,2004,4,49,49,44.8342,39.9498,2.3458,45.2519,3192,17,S Europe
White,France,Altesse,2016,3.7,43,76,57.64164538,47.91798617,10.98216313,55.38421874,11,5,W Europe
White,France,Vermentino,2019,3.8,1214,42,40.5934,47.91798617,4.40878,44.3051,234,2,W Europe
Red,France,Blend,2003,3.7,65,104.5,67.7553,57.9172,10.3122,64.5286,440,18,W Europe
White,Australia,Viognier,2018,3.5,1109,41,55.5607,47.91798617,25.1131,9.63103,3166,3,Oceania
Red,Italy,Shiraz/Syrah,2019,3.8,235,46,52.7462,40.6868,13.4889,45.062,578,2,S Europe
Red,Australia,Pinot Noir,2017,4,80,95,39.3474,14.9718,10.5981,53.7137,229,4,Oceania
Red,France,Gamay,2018,3.8,80,34.02,1.1613,12.6682,2.53554,83.1368,144,3,W Europe
Red,New Zealand,Pinot Noir,2019,3.7,47,30.73,21.5517,20.533,3.61431,61.4175,153,2,Oceania
White,Spain,Blend,2019,4.4,80,32.79,57.64164538,47.91798617,10.98216313,55.38421874,314,2,S Europe
White,Spain,Blend,2015,4,152,88,57.64164538,47.91798617,10.98216313,55.38421874,249,6,S Europe
Red,Australia,Shiraz/Syrah,2006,3.8,87,71.56,85,45.4626,17.2879,42.7195,482,15,Oceania
White,Portugal,Blend,2018,4.2,55,53.5,51.1667,47.91798617,10.6287,61.6098,160,3,S Europe
White,Portugal,Rabigato,2018,4.2,119,69,45.7276,47.91798617,1.76692,62.6968,141,3,S Europe
Red,Spain,Mencia,2017,3.6,139,39,49.7845,42.916,3.16101,58.0342,151,4,S Europe
White,France,Chardonnay,2017,4.2,26,112,65.9465,47.91798617,10.3342,49.9933,45,4,W Europe
Red,Italy,Blend,2015,4.2,52,59,52.3743,49.2222,0,45.8509,20,6,S Europe
Red,United States,Zinfandel,2015,4.1,1411,46.01,85,55.9461,13.3592,63.9303,5048,6,N America
White,Italy,Garganega,2018,3.5,52,36,29.501,47.91798617,0,54.5584,59,3,S Europe
White,South Africa,Chardonnay,2017,3.9,115,58,63.0522,47.91798617,14.0441,53.834,605,4,Africa
White,France,Chenin Blanc,2018,4.1,90,40.06,24.8672,47.91798617,5.81467,85,471,3,W Europe
White,France,Blend,2013,3.9,34,111,64.0083,47.91798617,12.5756,37.3446,87,8,W Europe
Red,Chile,Moscatel,2016,3.6,42,65,57.64164538,47.91798617,10.98216313,55.38421874,20,5,S America
Red,Italy,Barbera,2017,3.8,924,55,54.4256,24.5512,5.16327,64.489,774,4,S Europe
White,France,Sauvignon Blanc,2018,4.2,30,95,20.1939,47.91798617,4.96557,69.8233,25,3,W Europe
Red,Italy,Blend,2013,4.1,3857,108,51.0084,40.9037,8.46682,45.8959,6914,8,S Europe
Red,Italy,Blend,2013,3.6,624,67,64.7748,65.72,7.98947,52.8194,130,8,S Europe
Red,Chile,Carménère,2008,3.3,33,37.02,74.0671,35.061,5.46138,46.6931,9,13,S America
Red,Spain,Blend,2008,3.6,123,58.24,61.7937,45.2234,7.53765,47.3232,189,13,S Europe
Red,United States,Cabernet Sauvignon,2012,3.9,745,97,85,55.1013,4.32479,53.3773,435,9,N America
Red,Spain,Cariñena,2011,4.1,150,92.1,75.7958,51.5402,9.00534,52.7886,271,10,S Europe
Red,France,Blend,2002,3.7,79,73,73.1061,72.735,6.4415,67.6999,1505,19,W Europe
White,France,Riesling,2017,3.7,296,62.42,42.0083,47.91798617,20.1409,80.2266,441,4,W Europe
White,France,Blend,2011,4.3,200,118.67,42.9687,47.91798617,42.1657,77.1456,268,10,W Europe
Red,France,Merlot,2010,3.9,248,67.59,73.8336,50.8033,10.5132,48.5685,925,11,W Europe
Red,Spain,Blend,2020,3.8,38,38,68.366,54.6023,13.1886,43.0312,127,1,S Europe
White,Australia,Marsanne,2017,3.9,72,64.99,57.64164538,47.91798617,10.98216313,55.38421874,285,4,Oceania
Red,Italy,Negroamaro,2016,3.8,120,56,72.4498,36.8686,23.3156,29.9454,82,5,S Europe
Red,South Africa,Shiraz/Syrah,2017,3.9,589,78,70.7472,46.4385,6.0804,53.2039,1499,4,Africa
Red,United States,Pinot Noir,2018,3.9,40,107.83,44.761,22.9728,8.47141,55.817,331,3,N America
Red,France,Cabernet Sauvignon,2015,4,541,77.5,74.218,73.5018,5.52423,71.1795,2370,6,W Europe
White,Portugal,Albariño,2018,3.9,2468,47,12.1642,47.91798617,1.47677,77.0563,1869,3,S Europe
Red,Portugal,Cabernet Sauvignon,2016,4.2,1464,71.5,65.2932,45.8987,12.2995,43.499,1414,5,S Europe
Red,Italy,Blend,2016,3.6,85,44.42,44.5226,33.1453,10.2381,31.7468,73,5,S Europe
Red,France,Shiraz/Syrah,2016,4,79,105.33,83.9836,49.315,8.09558,55.2848,371,5,W Europe
Red,France,Blend,2013,3.7,1203,84.8,70.3864,72.2033,7.58354,70.1373,3695,8,W Europe
Red,France,Shiraz/Syrah,2017,4,91,84.17,81.5391,48.5233,9.77235,54.9714,343,4,W Europe
Red,Australia,Pinot Noir,2018,4,30,47,36.5463,10.4886,0,63.8785,41,3,Oceania
White,Spain,Macabeo,2020,3.8,57,10.83,40.8535,47.91798617,0,66.1371,59,1,S Europe
Red,United States,Pinot Noir,2016,3.9,246,79,42.4502,18.0822,10.1091,53.9559,479,5,N America
White,Spain,Palomino,2018,4.1,212,101.84,57.64164538,47.91798617,10.98216313,55.38421874,358,3,S Europe
White,France,Chardonnay,2018,4.2,139,87.25,42.6454,47.91798617,1.91639,65.4272,512,3,W Europe
Red,Italy,Sangiovese,2017,3.8,785,52.17,46.2374,56.7455,6.08083,64.4019,1779,4,S Europe
Red,Italy,Nero d'Avola,2018,3.7,273,42,71.782,40.0555,21.4486,37.7989,253,3,S Europe
White,Spain,Garnacha Blanca,2019,4,34,35.11,57.64164538,47.91798617,10.98216313,55.38421874,32,2,S Europe
Red,France,Blend,2015,4.1,1094,80,63.458,63.3836,7.25196,72.0754,1529,6,W Europe
Red,France,Blend,2017,4.2,92,49.9,64.9689,55.8532,16.6847,59.1991,49,4,W Europe
Red,United States,Cabernet Franc,2019,4.1,194,68,55.0475,64.7191,3.3568,54.4755,192,2,N America
Red,France,Blend,2014,4.1,585,79,65.748,66.6163,6.62247,74.515,1069,7,W Europe
White,New Zealand,Sauvignon Blanc,2019,4,67,39,34.2813,47.91798617,2.69965,78.0075,307,2,Oceania
Red,France,Cabernet Franc,2010,3.9,1075,51.47,73.9917,53.4222,5.49893,52.1478,1582,11,W Europe
Red,France,Sauvignon Blanc,2012,3.9,985,74.12,74.7227,76.5327,5.44988,63.6711,942,9,W Europe
White,Germany,Riesling,2020,3.9,138,26,38.5521,47.91798617,25.5027,73.5452,189,1,W Europe
White,Australia,Sauvignon Blanc,2018,3.5,70,30,40.2612,47.91798617,9.21642,62.4627,35,3,Oceania
White,Slovenia,Ribolla Gialla,2018,4,178,60,57.64164538,47.91798617,10.98216313,55.38421874,503,3,C/E Europe
Red,Spain,Cariñena,2017,4.3,409,119,81.8475,49.5992,11.8068,52.9964,1132,4,S Europe
White,New Zealand,Riesling,2020,4.1,71,43.76,31.8499,47.91798617,23.8858,77.5518,538,1,Oceania
White,France,Chardonnay,2018,4.1,141,26.29,40.5101,47.91798617,0,65.551,107,3,W Europe
Red,Australia,Shiraz/Syrah,2018,3.7,2919,22.9,83.5642,44.8223,20.3796,42.4732,1991,3,Oceania
Red,Italy,Montepulciano,2016,4.2,47,106,44.1682,40.8769,9.17581,64.4358,189,5,S Europe
Red,France,Gamay,2019,4.3,135,40.06,6.26199,12.8019,8.64224,82.759,642,2,W Europe
Red,France,Blend,2009,3.9,464,75.78,74.3908,76.553,5.12978,71.5506,392,12,W Europe
White,United States,Chardonnay,2018,4.1,267,92,84.9861,47.91798617,37.2441,47.3056,755,3,N America
Red,Spain,Tinta Roriz,2014,4.1,330,86.86,65.0208,55.0158,12.3138,47.5441,120,7,S Europe
Red,Italy,Sangiovese,2016,4.1,105,104,44.1552,64.2967,3.91576,63.5049,84,5,S Europe
Red,Italy,Pinot Nero,2018,4.1,98,59,40.9153,29.5229,5.08836,58.7274,112,3,S Europe
Red,France,Blend,2009,3.8,873,48.4,74.2324,73.7859,7.06722,72.5537,1405,12,W Europe
Red,France,Blend,2006,3.8,694,55.68,72.0086,72.1369,4.9944,72.2942,2040,15,W Europe
Red,Australia,Shiraz/Syrah,2019,4.2,36,49,78.1857,47.5746,25.1636,41.6066,78,2,Oceania
Red,France,Cabernet Sauvignon,2013,3.8,538,60.58,74.2003,73.4665,5.54919,71.162,2366,8,W Europe
Red,Italy,Barbera,2017,4.3,80,117.99,59.402,26.3244,13.9407,62.6689,552,4,S Europe
Red,France,Pinot Noir,2018,4,355,78,30.9087,20.2061,4.1474,65.2592,182,3,W Europe
White,New Zealand,Sauvignon Blanc,2018,3.7,563,46,31.2465,47.91798617,0,78.893,748,3,Oceania
Red,Italy,Sangiovese,2017,4.2,454,70,49.1769,56.9721,7.7972,64.6452,1928,4,S Europe
Red,Australia,Pinot Noir,2018,3.8,112,90,42.5532,13.6956,7.83484,52.399,413,3,Oceania
Red,France,Cabernet Sauvignon,2015,3.8,1138,52,71.2997,72.239,4.6029,71.2737,1897,6,W Europe
Red,France,Pinot Noir,2018,3.8,2024,59,28.5479,21.6707,0.459148,65.8539,1884,3,W Europe
Red,France,Blend,2017,3.7,250,60,73.9085,74.4329,5.9035,71.3905,1526,4,W Europe
White,Italy,Sauvignon Blanc,2018,4.1,1011,64.99,43.7695,47.91798617,21.1433,64.3649,585,3,S Europe
Red,United States,Petite Sirah,2015,4.2,1751,113.51,79.2447,75.3506,7.11812,54.3276,5583,6,N America
Red,France,Blend,2013,3.7,83,44.83,73.1311,72.773,6.39374,67.7222,1505,8,W Europe
Red,Spain,Garnacha,2010,3.5,44,99.2,72.6738,43.7845,4.85526,52.6031,86,11,S Europe
Red,Portugal,Unspecified,2019,4.1,95,32,60.1633,42.5338,10.8831,42.964,69,2,S Europe
Red,Italy,Nebbiolo,2017,4.2,122,107,62.1337,74.145,3.58045,81.8477,3237,4,S Europe
Red,Italy,Blend,2017,4.2,308,48,84.5674,41.1756,34.9747,27.3887,578,4,S Europe
Red,France,Blend,2016,4,165,88.84,63.8289,38.2194,2.75973,46.6787,153,5,W Europe
White,Spain,Blend,2019,3.7,29,18.56,57.64164538,47.91798617,10.98216313,55.38421874,243,2,S Europe
Red,Spain,Tempranillo,2010,4.1,749,101.95,62.7533,58.0967,11.8753,61.104,1405,11,S Europe
Red,Spain,Mencia,2019,3.8,41,16.16,54.2188,41.621,10.3772,65.3941,320,2,S Europe
Red,Georgia,Saperavi,2019,3.7,109,28,57.64164538,47.91798617,10.98216313,55.38421874,190,2,C/W Asia
Red,France,Blend,2016,3.8,33,34,53.7966,47.2373,20.7034,47.9153,8,5,W Europe
White,Portugal,Blend,2017,3.9,38,80,52.8816,47.91798617,8.77483,68.024,31,4,S Europe
Red,Italy,Negroamaro,2018,4.4,76,92,84.6505,41.3629,34.0415,28.4018,202,3,S Europe
Red,France,Cabernet Sauvignon,2007,3.9,671,48,75.0475,73.1004,5.67344,72.0232,2187,14,W Europe
White,Spain,Sauvignon Blanc,2018,3.7,480,65,40.4754,47.91798617,1.375,65.9431,164,3,S Europe
Red,France,Shiraz/Syrah,2017,4.3,64,88.15,57.64164538,47.91798617,10.98216313,55.38421874,766.0365691,4,W Europe
Red,France,Grenache,2019,3.8,300,46,64.6474,50.7761,6.59253,56.3559,314,2,W Europe
Red,Italy,Nebbiolo,2016,4.1,93,96.83,63.7293,78.297,6.0795,81.8073,425,5,S Europe
Red,France,Blend,2014,3.7,60,42,72.9313,71.3479,0,72.6354,31,7,W Europe
Red,Australia,Shiraz/Syrah,2018,3.7,68,42,85,49.523,20.4837,45.0388,408,3,Oceania
Red,France,Blend,2015,3.9,266,38.66,69.3491,76.5103,8.0251,71.724,371,6,W Europe
Red,Spain,Cabernet Sauvignon,2007,4.4,29,51.66,69.929,37.642,4.48295,43.8636,18,14,S Europe
Red,United States,Merlot,2016,4.1,2180,95,66.824,24.6408,15.1432,13.5616,2956,5,N America
White,United States,Chardonnay,2019,3.9,2003,35,85,47.91798617,38.227,44.9964,5466,2,N America
Red,Spain,Tempranillo,2015,4,37,55,57.8163,60.2464,4.94357,59.8173,83,6,S Europe
Red,France,Blend,2017,3.2,172,23,57.7172,53.064,5.34512,60.064,48,4,W Europe
Red,France,Gamay,2018,4.3,71,65,5.36512,14.5218,5.44755,83.5708,82,3,W Europe
Red,France,Merlot,2010,3.7,522,66.88,66.1357,54.1454,2.60226,62.9278,656,11,W Europe
Red,Australia,Blend,2015,3.4,137,24.18,85,52.0138,8.44557,40.7103,57,6,Oceania
White,France,Altesse,2013,3.7,119,59,57.64164538,47.91798617,10.98216313,55.38421874,121,8,W Europe
White,Hungary,Furmint,2020,3.6,58,45,57.64164538,47.91798617,10.98216313,55.38421874,428,1,C/E Europe
Red,South Africa,Blend,2015,4.3,27,75,57.64164538,47.91798617,10.98216313,55.38421874,76,6,Africa
Red,Spain,Tempranillo,2016,3.7,247,50,62.8978,63.6065,5.1501,59.1558,322,5,S Europe
Red,Italy,Nebbiolo,2015,4.2,42,75,63.0822,79.1731,4.25423,84.3955,447,6,S Europe
Red,France,Merlot,2018,4,186,102,72.5212,55.7071,8.09917,53.2896,2248,3,W Europe
Red,Australia,Blend,2016,3.7,222,49.99,83.2618,53.8426,5.53301,61.1255,502,5,Oceania
White,Italy,Inzolia,2020,3.5,43,40,60.8369,47.91798617,7.13518,33.6053,395,1,S Europe
Red,Spain,Petit Verdot,2018,3.8,159,20.34,65.0091,45.0529,14.9572,41.3262,125,3,S Europe
Red,Australia,Cabernet Sauvignon,2016,3.5,188,60,67.0944,58.8535,7.25182,53.4755,286,5,Oceania
Red,Italy,Barbera,2019,4,1189,47,54.2798,21.6851,7.88488,62.0887,1371,2,S Europe
White,France,Marsanne,2018,3.8,326,47,54.3587,47.91798617,19.104,26.4295,441,3,W Europe
Red,France,Cabernet Sauvignon,2016,3.9,282,105,71.9987,70.3906,6.168,72.1695,1491,5,W Europe
Red,Italy,Nebbiolo,2017,3.7,67,42,63.2018,78.8299,0.641295,84.1375,205,4,S Europe
Red,Chile,Blend,2016,3.8,4510,37.02,68.5922,47.9036,14.2369,41.8186,3891,5,S America
Red,France,Merlot,2016,4.3,822,98,73.1809,70.8947,5.47001,71.9063,3098,5,W Europe
White,Austria,Riesling,2018,3.6,58,57,47.4593,47.91798617,2.61541,85,127,3,C/E Europe
Red,South Africa,Pinotage,2014,4.2,1191,85,67.7378,45.7622,7.53481,44.2577,1249,7,Africa
White,France,Marsanne,2018,4,32,68.92,51.355,47.91798617,12.4992,26.3678,109,3,W Europe
Red,France,Blend,2006,3.8,155,65.5,71.9853,54.6578,8.41964,50.848,574,15,W Europe
Red,Italy,Sangiovese,2013,4.2,2044,89,45.9301,54.4922,6.97596,62.2971,3937,8,S Europe
Red,France,Blend,2015,4,602,88,72.5259,73.6603,7.19805,71.8864,4629,6,W Europe
Red,United States,Pinot Noir,2018,3.9,258,66,22.7566,20.0861,4.79542,64.0697,710,3,N America
Red,Italy,Blend,2017,4.1,215,99,54.2839,41.0106,17.1065,43.0448,623,4,S Europe
Red,Australia,Blend,2018,4.3,54,90,85,48.1591,29.6957,43.814,63,3,Oceania
White,Australia,Chardonnay,2018,4,71,54.99,54.3852,47.91798617,10.638,54.0375,196,3,Oceania
Red,France,Blend,2014,4,848,88,72.4421,73.2129,7.55943,72.6876,2320,7,W Europe
White,France,Chardonnay,2017,4,322,32.48,41.7675,47.91798617,0.446395,68.764,464,4,W Europe
White,Germany,Riesling,2016,4,45,90,47.1419,47.91798617,9.91394,82.2338,83,5,W Europe
Red,Italy,Primitivo,2017,3.7,46,32,63.4859,22.1661,39.2148,23.4636,36,4,S Europe
Red,Chile,Cabernet Sauvignon,2007,3.9,843,43.78,73.9189,50.0747,10.2638,43.3908,5775,14,S America
Red,Italy,Nero d'Avola,2013,4.1,54,74,80.5887,44.2702,27.0575,30.0752,255,8,S Europe
Red,Italy,Blend,2019,4.2,474,43,58.5435,39.4508,20.8037,44.3894,386,2,S Europe
Red,Spain,Tempranillo,2015,3.8,149,72.49,60.5273,62.0303,10.2639,60.387,853,6,S Europe
Red,Spain,Tempranillo,2018,4,357,17.48,62.6055,57.0781,10.3096,59.1922,427,3,S Europe
Red,France,Pinot Noir,2018,4.1,69,115,30.6816,32.8485,4.17136,78.2263,86,3,W Europe
White,France,Blend,2015,4,59,75.08,57.64164538,47.91798617,10.98216313,55.38421874,149,6,W Europe
Red,France,Cabernet Franc,2018,3.9,38,69.5,57.64164538,47.91798617,10.98216313,55.38421874,227,3,W Europe
White,Italy,Chardonnay,2015,4.3,47,53.51,68.1321,47.91798617,25.2973,51.3357,741,6,S Europe
Red,France,Blend,2016,3.7,388,45.42,73.2959,72.6835,7.24829,73.4589,711,5,W Europe
White,Austria,Grüner Veltliner,2017,4,249,82,37.0682,47.91798617,10.4836,63.3723,151,4,C/E Europe
White,France,Chardonnay,2017,4.3,194,101,60.5225,47.91798617,9.91191,47.6679,124,4,W Europe
Red,Australia,Merlot,2017,3.4,44,49.4,67.1736,20.022,0,12.237,32,4,Oceania
White,Germany,Riesling,2018,4.1,2137,35.57,41.6323,47.91798617,8.77655,83.9377,1471,3,W Europe
Red,France,Blend,2016,4,262,89,63.7394,62.0801,3.42602,72.9272,992,5,W Europe
